City,Population,numOfNotableResidents,totalPageViews
Lake Mills,2100,5,27598,18098
Birmingham,448,3,148,77
Afton,845,2,2430,2399
Eddyville,1024,4,729,598
Lenox,1407,2,208,150
Dakota City,843,1,4473,4473
Strawberry Point,1279,2,182,113
Carson,812,1,56,56
Bussey,422,1,29,29
Jesup,2520,3,11662,11492
Modale,283,1,2648,2648
Ocheyedan,490,2,76,59
Bankston,25,1,126,126
West Chester,146,1,68,68
Ogden,2044,2,2454,2361
Fontanelle,672,3,409,316
Ellston,43,1,41,41
Essex,798,1,89,89
Clermont,632,4,1275,1011
Farmington,664,1,32,32
Traer,1703,2,1063,783
Columbus Junction,1899,2,507,334
Hospers,698,2,1094,877
Farmersburg,302,1,27,27
Janesville,930,2,94,87
Hillsboro,180,1,0,0
Clive,15447,3,15806,12215
Elliott,350,2,22,22
Urbandale,39463,7,81629,54947
Grimes,8246,2,1985,1302
Wheatland,764,1,40,40
Ladora,283,1,1498,1498
Milford,2898,2,61,34
East Peru,125,1,155,155
Belle Plaine,2534,11,23390,6172
Redfield,835,1,45979,45979
Beaconsfield,15,1,5875,5875
Parkersburg,1870,5,320528,306610
Edgewood,864,1,948,948
Panora,1124,1,79,79
Epworth,1860,4,7176,5266
Millersburg,159,1,17,17
Curlew,58,2,203,162
Sheffield,1172,1,189,189
Woolstock,168,1,64649,64649
Rock Rapids,2549,3,224,175
Tama,2877,6,864,538
Lakota,255,3,140,54
Seymour,701,2,796,708
Eagle Grove,3583,3,5449,5308
Hinton,928,2,783,772
Fremont,743,2,702,549
Hopkinton,628,3,6196,5334
Preston,1012,4,559,287
Colfax,2093,4,180283,175225
Blanchard,38,1,71,71
Spencer,11233,7,6345,3665
Wellman,1408,1,9,9
Moravia,665,1,172,172
Greene,1130,3,1936,1872
Humeston,494,1,4859,4859
Osceola,4929,4,107159,89803
Salix,363,1,79,79
Ollie,215,1,70,70
New Albin,522,1,87,87
Sioux Rapids,775,3,154,75
Pioneer,23,1,41,41
Walker,791,2,102,71
Prescott,257,1,14,14
Woden,229,2,16464,16437
Mediapolis,1560,4,10847,10089
Kellerton,315,1,85,85
Corwith,309,2,400,390
Osage,3619,9,9483,5925
Libertyville,315,1,35,35
Winthrop,850,4,126885,119072
Montezuma,1462,6,2692,2492
Wall Lake,819,2,54371,48519
New Market,415,1,19,19
Grundy Center,2706,2,361,322
Winterset,5190,10,378387,263461
Arnolds Park,1126,1,164,164
Diagonal,330,2,102,55
Moulton,605,3,155,98
Linden,199,1,0,0
Osterdock,59,1,1964,1964
Rinard,52,1,42,42
Dow City,510,1,59,59
Mitchellville,2254,2,3370,3340
Keosauqua,1006,12,1101,245
Indianola,14782,16,147133,72654
Wyoming,515,3,111,53
Burt,533,1,334,334
Salem,383,4,501,226
Bernard,112,2,107,73
Webster City,8070,7,7816,3251
Bloomfield,2640,24,85945,50417
Plainfield,436,3,21254,21088
Hiawatha,7024,2,5757,5617
Pisgah,251,2,262,170
Rockford,860,3,49023,46087
Cushing,220,1,171,171
McGregor,871,12,85315,75711
Hawarden,2546,12,6356,3805
Gravity,188,2,386,217
Nashua,1663,4,9779,7590
Inwood,814,2,8587,6011
Alvord,196,1,62,62
Sheldon,5188,8,15503,6829
Wapello,2067,1,23,23
Randolph,168,3,376,319
Dexter,611,1,233,233
Holstein,1396,2,43,30
Shueyville,577,3,33829,29830
Laurel,239,1,146530,146530
Victor,893,5,683,518
Hedrick,764,1,1195,1195
Ireton,609,1,121,121
Hull,2175,6,18524,18104
Griswold,1036,2,19875,19755
Mallard,274,1,22924,22924
Linn Grove,154,2,65,38
Auburn,322,1,274,274
Coggon,658,2,718,688
Avoca,1506,4,30586,29597
Exira,840,2,8627,6529
Maloy,29,1,109,109
Macksburg,113,1,5857,5857
Ida Grove,2142,4,3128,2090
Emmetsburg,3904,7,1662,468
Cumming,351,1,0,0
Hancock,196,2,719,719
Lucas,216,2,6832,6287
Mount Union,107,1,130,130
Martinsburg,112,1,406,406
Oakland,1527,2,300,300
Fonda,631,4,143672,139437
Audubon,2176,5,7586,6992
Kingsley,1411,1,20154,20154
Primghar,909,2,11362,10820
Bagley,303,1,79,79
Lehigh,416,2,789,772
Murray,756,1,612,612
Quasqueton,554,1,1736,1736
Jefferson,4345,9,39424,35206
Guttenberg,1914,2,882,779
Doon,577,1,407,407
North English,1041,1,89,89
Struble,78,2,1340,1292
Livermore,384,1,7517,7517
Sheldahl,319,1,37,37
Conway,41,2,1028,1017
Kiron,279,1,42907,42907
Fairfax,2123,1,21247,21247
Minburn,365,1,92,92
Bancroft,732,3,1491,1081
Ashton,458,1,58,58
Urbana,1458,1,436,436
Mingo,302,1,25,25
Russell,554,3,52902,52441
Lamoni,2324,14,346365,336313
Pocahontas,1789,3,935,483
Ionia,291,1,133,133
Neola,842,3,33589,32229
Scranton,557,2,98,98
Aplington,1128,2,1079,1049
Wilton,2802,1,1032,1032
Whitten,149,2,618,524
Harper,114,1,17,17
Bonaparte,433,1,61,61
Larchwood,866,3,3181,2576
Arispe,100,1,369,369
La Motte,260,1,4,4
Vail,436,1,389,389
Parnell,193,2,73,37
Sibley,2798,7,999,333
Hartley,1672,5,1010,419
Newell,876,1,18,18
